id,item_name,water,calories,calcium,carbs,cholesterol,iron,fiber,monounsaturated_fats,polyunsaturated_fats,potassium,proteins,saturated_fats,sodium,sugar,trans_fats,fats,vit_a,vit_c,vit_d,ala,found,Unnamed: 22
121,beef heart,77.11,112.0,7.0,0.14,124.0,4.31,0.0,1.137,0.546,287.0,17.72,1.383,0.098,0.0,0.18,3.94,0.0,2.0,0.0,0.0106,beef heart,
122,beef jerkey,0.0,410.0,20.0,11.0,48.0,5.42,1.8,11.305,1.011,597.0,33.2,10.85,2.081,9.0,0.0,25.6,0.0,0.0,0.3,0.0,,
125,beef short ribs,63.839999999999996,236.549621,6.0,0.0,37.5,1.12,0.0,0.0,0.0,138.5,17.11756593,7.957820702,0.039,0.0,0.6035,18.42441497,0.0,0.0,0.05,0.0335,beef short ribs,
127,beef stock,95.89,5.0,3.5,0.185,0.0,0.11,0.0,0.06,0.005,31.0,0.745,0.075,0.426,0.13,0.0,0.15,0.5,0.0,0.0,0.0,,
130,beefsteak tomato,94.52000000000001,19.0,13.0,3.945,0.0,0.335,1.0,0.0155,0.0415,118.5,0.44,0.014,0.0105,2.515,0.0,0.1,421.0,16.45,0.0,0.0,,
131,beer,91.96,43.0,4.0,3.55,0.0,0.02,0.0,0.0,0.0,27.0,0.46,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
132,beet greens,92.24,24.0,66.5,5.165,0.0,1.435,2.7,0.0195,0.042,435.0,1.485,0.018,0.237,1.7,0.0,0.115,3163.0,16.3,0.0,0.0,,
133,beet root,87.58,43.0,16.0,9.56,0.0,0.8,2.8,0.032,0.06,325.0,1.61,0.027,0.078,6.76,0.0,0.17,2.0,4.9,0.0,0.0,,
134,beet root juice,86.4,43.0,16.0,9.56,0.0,0.8,2.8,0.032,0.06,325.0,1.61,0.027,0.078,6.76,0.0,0.17,2.0,4.9,0.0,0.0,,
135,belgian endive,94.52000000000001,17.32352941,21.26470588,4.352941177,0.0,0.12,2.138235294,0.0,0.0,105.5,0.45,0.012,0.001,0.0,0.0,0.05,0.5,1.988235294,0.0,0.0,,
136,bell pepper,93.89,25.0,15.0,5.82,0.0,0.17,1.85,0.0,0.0,87.5,0.93,0.029,0.0015,3.2,0.0,0.085,209.0,97.2,0.0,0.0,,
137,berries,85.75,39.32895,17.32185,9.42595,0.0,0.45505,3.00935,0.0463,0.19405,142.50705,0.83305,0.0175,0.001,5.48945,0.0,0.366,9.63935,42.9059,0.0,0.0,,
138,berry blue gelatin mix,13.0,335.0,55.0,0.0,0.0,1.11,0.0,0.06,0.01,16.0,85.6,0.07,0.196,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,
139,berry frozen yogurt,71.2,70.0,100.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.08,4.0,0.0,0.0,100.0,6.0,0.0,0.0,,
140,berry juice,92.2,53.54877792,9.73614144,13.14379094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.14379094,0.0,0.0,0.0,29.20842432,0.0,0.0,,
141,berry preserve,30.5,326.5306125,0.0,84.89795926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03265306125,71.83673475,0.0,0.0,0.0,0.0,0.0,0.0,,
142,berry yogurt,85.1,99.0,138.0,18.64,0.0,0.06,0.0,0.316,0.033,177.0,3.98,0.742,0.053,18.64,0.0,1.15,40.0,0.6,0.3,0.0,,
143,biscotti,18.5207,390.775,113.0429,58.5166,63.0081,1.2982,1.3521,3.5311,8.5542,84.1231,6.9992,1.5194,0.190492,22.7249,0.3236,14.4887,27.2213,0.1589,0.3388,0.709,biscotti,
144,biscuit,28.9,294.5,387.5,35.75,294.0,7.19,0.0,2.3155,3.7025,90.5,16.05,2.03,1.0375,3.75,0.0,11.45,135.5,0.0,1.45,0.0,,
145,biscuit mix,27.700000000000003,294.5,387.5,35.75,294.0,7.19,0.0,2.3155,3.7025,90.5,16.05,2.03,1.0375,3.75,0.0,11.45,135.5,0.0,1.45,0.0,,
146,bitter melon,94.03,18.58064516,13.53225806,3.866129033,0.0,0.215,1.803225807,0.0,0.0,148.0,0.903225807,0.0,0.006532258064999999,0.0,0.0,0.085,52.32258065,58.93548387,0.0,0.0,,
149,black beer,91.96,43.0,4.0,3.55,0.0,0.02,0.0,0.0,0.0,27.0,0.46,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
154,black olive,79.99000000000001,110.0,89.0,6.16,0.0,3.305,3.1,7.4655,0.8625,8.0,0.86,1.339,0.8075,0.0,0.0,10.11,203.0,1.0,0.0,0.0,,
155,black peppercorns,12.46,251.0,443.0,63.95,0.0,9.71,25.3,0.739,0.998,1329.0,10.39,1.392,0.02,0.64,0.0,3.26,27.0,0.0,0.0,0.0,,
156,black tea,99.7,1.0,0.0,0.25,0.0,0.005,0.0,0.001,0.0035,23.0,0.0,0.0015,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
158,blackberries,88.14999999999999,43.0,29.0,9.61,0.0,0.62,5.3,0.047,0.28,162.0,1.39,0.014,0.001,4.88,0.0,0.49,112.5,0.0,0.0,0.0,,
159,blackberry jam,30.470000000000002,264.0000001,10.0,66.93000003,0.0,0.245,0.55,0.019,0.0,38.5,0.185,0.005,0.04100000002,49.25000002,0.0,0.035,0.0,0.0,0.0,0.0,,
160,blackberry juice,90.9,38.0,12.0,7.8,0.0,0.48,0.1,0.058,0.344,135.0,0.3,0.018,0.001,7.7,0.0,0.6,123.0,11.3,0.0,0.0,,
163,blackberry wine,86.49,79.97858457,4.0,6.816556555,0.0,0.23,0.0,0.0,0.0,63.5,0.035,0.0,0.0031023113109999996,4.719245244,0.0,0.0,0.0,0.0,0.0,0.0,,
164,blackberry yogurt,85.1,93.61764706,127.8235294,17.55529412,5.441176471,0.03,0.0,0.0,0.0,88.5,3.754705882,0.665117647,0.05297058824,15.79058824,0.0,1.163235294,34.9117647,0.594117647,0.0,0.0,,
166,blood orange,87.1,47.2972973,27.02702703,10.13513514,0.0,0.0,2.027027027,0.0,0.0,175.6756757,0.675675676,0.0,0.0,9.459459459,0.0,0.675675676,270.2702703,44.59459459,0.0,0.0,,
167,blue cheese,42.41,353.0,528.0,2.34,75.0,0.31,0.0,7.778,0.8,256.0,21.4,18.669,1.2705,0.5,0.0,28.74,480.5,0.0,0.25,0.0388,,
168,blue cheese dressing,68.0,488.372093,46.51162791,4.651162791,58.13953488,0.0,0.0,0.0,0.0,0.0,4.651162791,9.302325581,1.0,4.651162791,0.0,48.8372093,0.0,0.0,0.0,0.0388,,
169,blue green algae,82.61500000000001,135.27,0.0,10.14,0.0,74.36,0.0,0.0,0.0,642.2,27.04,0.0,0.49348000000000003,0.0,0.0,3.38,0.0,6.76,0.0,0.0,,
170,blueberries,84.21,57.0,6.0,14.49,0.0,0.28,2.4,0.047,0.146,77.0,0.74,0.028,0.001,9.96,0.0,0.33,28.5,0.0,0.0,0.0,,
171,blueberry frozen yogurt,71.2,166.6666667,138.8888889,29.16666667,13.88888889,0.0,0.0,0.0,0.0,0.0,4.166666667,2.083333333,0.09027777778,19.44444444,0.0,3.472222222,0.0,0.0,0.0,0.0,,
172,blueberry juice,86.4,56.12082146,9.351495244,12.86530656,0.0,0.12835,0.565862262,0.0,0.0,52.95642072,0.446762262,0.233312262,0.007785818815,11.25670751,0.0,0.528224525,55.45021555,11.23417452,0.0,0.0,,
173,blueberry pie filling,54.66,114.5038168,0.0,28.6259542,0.0,0.0,1.145038168,0.0,0.0,0.0,0.0,0.0,0.017175572519999998,20.61068702,0.0,0.0,0.0,0.0,0.0,0.0,,
174,blueberry sorbet,68.4,141.6666667,20.91666667,31.3125,0.0,0.31,1.470833334,0.0,0.0,40.52083334,2.105,0.0,0.002,9.895833335,0.0,0.85,0.0,2.083333334,0.0,0.0,,
175,blueberry yogurt,85.1,99.47144602,127.7899365,19.90218857,5.439496825,0.03,0.0,0.158,0.0165,88.5,3.753698095,0.664949683,0.055894968249999996,18.13849048,0.0,1.162899365,5.5,0.887899365,0.0,0.0,,
176,bok choy,95.32000000000001,11.76470588,94.11764706,2.352941176,0.0,1.176470588,1.176470588,0.0,0.0,0.0,1.176470588,0.0,0.06470588235,1.176470588,0.0,0.0,2941.176471,42.35294118,0.0,0.0,,
177,boneless pork chop,65.14999999999999,201.0,9.0,0.0,59.0,0.48,0.0,5.349,2.05,345.0,21.14,4.413,0.082,0.0,0.081,12.96,5.0,0.0,0.3,0.068,boneless pork chop,
178,boneless skinless chicken breast,73.9,109.1071429,2.5,0.0,69.98214286,0.631428572,0.0,0.0,0.0,167.0,22.85714286,0.2815,0.06044642857,0.0,0.0035,1.756428572,4.5,0.892857143,0.0,0.0143,boneless skinless chicken breast,
179,bonito flakes,16.14,290.0,160.0,0.0,152.0,2.5,0.0,0.342,0.804,1458.0,62.82,0.462,7.0270001,0.0,0.0,2.37,42.0,3.5,4.0,0.0,,
180,bouquet garni,31.4257,212.8108,772.5406,43.26,0.0,23.4541,21.1432,0.6095,1.8679,1436.8379,14.4343,1.1303,0.1908649,2.9473,0.0,4.3038,192.3514,127.4487,0.0,0.7229,bouquet garni,
181,bourbon,66.60000000000001,240.5,0.0,0.05,0.0,0.02,0.0,0.0,0.0,2.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
